"name","code","netweight","relatedPart","partnumber","compatibledescription"
"SEAL-OIL 5D7465 - Caterpillar","[""CA5D7465"",""5D-7465"",""5D7465""]","Weight: 0.50 pounds 0 kg.",,"5D7465","[{""parca"":""TRACTOR "",""list"":[""776C""]},{""parca"":""TRUCK "",""list"":[""777""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""631E"",""637E"",""641B"",""650B"",""651E"",""657B"",""657E""]}]"
"GUARD AS 1392019 - Caterpillar","[""CA1392019"",""139-2019"",""1392019""]","Weight: 10 pounds 4 kg.",,"139-2019","[{""parca"":""TRACK-TYPE TRACTOR Caterpillar"",""list"":[""D11R"",""D11T""]}]"
"MOUNT 2363962 - Caterpillar","[""CA2363962"",""236-3962"",""2363962""]","Weight: 3 pounds 1 kg.",,"236-3962","[{""parca"":""VIBRATORY COMPACTOR Caterpillar"",""list"":[""CB-214D"",""CB-214E"",""CB-22""]}]"
"RETAINER GP 2320170 - Caterpillar","[""CA2320170"",""232-0170"",""2320170""]","Weight: 1 pounds 0 kg.",,"232-0170","[{""parca"":""EXCAVATOR "",""list"":[""374D L"",""374F L"",""385B"",""385C"",""385C FS"",""385C L"",""390D"",""390D L""]},{""parca"":""FRONT SHOVEL "",""list"":[""385C""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""992G"",""992K"",""993K"",""994F""]}]"
"MOUNT-FLEXIBLE 1932743 - Caterpillar","[""CA1932743"",""193-2743"",""1932743""]","Weight: 0.67 pounds 0 kg.",,"193-2743","[{""parca"":""EXCAVATOR Caterpillar"",""list"":[""311C"",""312C"",""312C L"",""314C"",""315C""]}]"
"PLATE 1W3397 - Caterpillar","[""CA1W3397"",""1W-3397"",""1W3397""]","Weight: 5 pounds 2 kg.","1W3397  PLATE-YM  3919810  CL","1W-3397","[{""parca"":""INDUSTRIAL ENGINE "",""list"":[""3412""]},{""parca"":""MARINE ENGINE "",""list"":[]},{""parca"":""TRACK-TYPE TRACTOR "",""list"":[""D10N"",""D9L""]},{""parca"":""WHEEL LOADER "",""list"":[""990"",""992C"",""992D""]},{""parca"":""WHEEL TRACTOR Caterpillar"",""list"":[""651E"",""657E""]}]"
"FLANGE 1177756 - Caterpillar","[""CA1177756"",""117-7756"",""1177756""]","Weight: 1 pounds 0 kg.",,"117-7756","[{""parca"":""COMPACT WHEEL LOADER "",""list"":[""906""]},{""parca"":""MULTI TERRAIN LOADER "",""list"":[""247"",""267"",""287""]},{""parca"":""SKID STEER LOADER "",""list"":[""216"",""228"",""236"",""248""]},{""parca"":""VIBRATORY COMPACTOR Caterpillar"",""list"":[""CP-433C"",""CS-431C""]}]"
"SEAL-BRAKE 2204335 - Caterpillar","[""CA2204335"",""220-4335"",""2204335""]",,,"220-4335","[{""parca"":""INTEGRATED TOOLCARRIER "",""list"":[""IT38H""]},{""parca"":""MOTOR GRADER "",""list"":[""120M"",""120M 2"",""12M"",""12M 2"",""140M"",""140M 2"",""14M"",""160M"",""160M 2"",""16M""]},{""parca"":""WHEEL LOADER Caterpillar"",""list"":[""938H""]}]"
"SEAL 1987826 - Caterpillar","[""CA1987826"",""198-7826"",""1987826""]","Weight: 0.17 pounds 0 kg.",,"198-7826","[{""parca"":""BACKHOE LOADER "",""list"":[""432E"",""434E"",""434F"",""442E"",""444E"",""444F""]},{""parca"":""TELEHANDLER Caterpillar"",""list"":[""TH103"",""TH460B"",""TH560B"",""TH580B""]}]"
"SEAL-WIPER 2287467 - Caterpillar","[""CA2287467"",""228-7467"",""2287467""]","Weight: 0.01 pounds 0 kg.","COUNTERBORE AXIAL DEPTH  7.75  mm","228-7467","[{""parca"":""MOTOR GRADER Caterpillar"",""list"":[""120H"",""120H NA"",""12H"",""12H NA"",""135H"",""135H NA"",""140H"",""140H NA"",""143H"",""160H"",""160H NA"",""163H NA""]}]"
