"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"SEAL-OIL 5D7465 - Caterpillar","[""CA5D7465"",""5D-7465"",""5D7465""]","Weight: 0.50 pounds 0 kg.",,"5D7465","[""TRACTOR "",""TRUCK "",""WHEEL TRACTOR Caterpillar""]","[[""776C""],[""777""],[""631E"",""637E"",""641B"",""650B"",""651E"",""657B"",""657E""]]","[""/product/5D-7465.png"",""/product/5D-7465_1.png""]"
"GUARD AS 1392019 - Caterpillar","[""CA1392019"",""139-2019"",""1392019""]","Weight: 10 pounds 4 kg.",,"139-2019","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D11R"",""D11T""]]","[""/product/1392019.png"",""/product/1392019_1.png"",""/product/1392019_2.png""]"
"MOUNT 2363962 - Caterpillar","[""CA2363962"",""236-3962"",""2363962""]","Weight: 3 pounds 1 kg.",,"236-3962","[""VIBRATORY COMPACTOR Caterpillar""]","[[""CB-214D"",""CB-214E"",""CB-22""]]","[""/product/236-3962.png"",""/product/236-3962_1.png"",""/product/236-3962_2.png""]"
"RETAINER GP 2320170 - Caterpillar","[""CA2320170"",""232-0170"",""2320170""]","Weight: 1 pounds 0 kg.",,"232-0170","[""EXCAVATOR "",""FRONT SHOVEL "",""WHEEL LOADER Caterpillar""]","[[""374D L"",""374F L"",""385B"",""385C"",""385C FS"",""385C L"",""390D"",""390D L""],[""385C""],[""992G"",""992K"",""993K"",""994F""]]","[""/product/232-0170.png"",""/product/232-0170.png""]"
"MOUNT-FLEXIBLE 1932743 - Caterpillar","[""CA1932743"",""193-2743"",""1932743""]","Weight: 0.67 pounds 0 kg.",,"193-2743","[""EXCAVATOR Caterpillar""]","[[""311C"",""312C"",""312C L"",""314C"",""315C""]]","[""/product/193-2743.png"",""/product/193-2743_1.png"",""/product/193-2743_2.png""]"
"PLATE 1W3397 - Caterpillar","[""CA1W3397"",""1W-3397"",""1W3397""]","Weight: 5 pounds 2 kg.","1W3397  PLATE-YM  3919810  CL","1W-3397","[""INDUSTRIAL ENGINE "",""MARINE ENGINE "",""TRACK-TYPE TRACTOR "",""WHEEL LOADER "",""WHEEL TRACTOR Caterpillar""]","[[""3412""],[],[""D10N"",""D9L""],[""990"",""992C"",""992D""],[""651E"",""657E""]]","[""/product/1W3397.png"",""/product/1W3397.png""]"
"FLANGE 1177756 - Caterpillar","[""CA1177756"",""117-7756"",""1177756""]","Weight: 1 pounds 0 kg.",,"117-7756","[""COMPACT WHEEL LOADER "",""MULTI TERRAIN LOADER "",""SKID STEER LOADER "",""VIBRATORY COMPACTOR Caterpillar""]","[[""906""],[""247"",""267"",""287""],[""216"",""228"",""236"",""248""],[""CP-433C"",""CS-431C""]]","[""/product/1177756.png"",""/product/1177756.png""]"
"SEAL-BRAKE 2204335 - Caterpillar","[""CA2204335"",""220-4335"",""2204335""]",,,"220-4335","[""INTEGRATED TOOLCARRIER "",""MOTOR GRADER "",""WHEEL LOADER Caterpillar""]","[[""IT38H""],[""120M"",""120M 2"",""12M"",""12M 2"",""140M"",""140M 2"",""14M"",""160M"",""160M 2"",""16M""],[""938H""]]","[""/product/220-4335.png"",""/product/220-4335.png""]"
"SEAL 1987826 - Caterpillar","[""CA1987826"",""198-7826"",""1987826""]","Weight: 0.17 pounds 0 kg.",,"198-7826","[""BACKHOE LOADER "",""TELEHANDLER Caterpillar""]","[[""432E"",""434E"",""434F"",""442E"",""444E"",""444F""],[""TH103"",""TH460B"",""TH560B"",""TH580B""]]","[""/product/198-7826.png"",""/product/198-7826_1.png"",""/product/198-7826_2.png""]"
"SEAL-WIPER 2287467 - Caterpillar","[""CA2287467"",""228-7467"",""2287467""]","Weight: 0.01 pounds 0 kg.","COUNTERBORE AXIAL DEPTH  7.75  mm","228-7467","[""MOTOR GRADER Caterpillar""]","[[""120H"",""120H NA"",""12H"",""12H NA"",""135H"",""135H NA"",""140H"",""140H NA"",""143H"",""160H"",""160H NA"",""163H NA""]]","[""/product/228-7467.png"",""/product/228-7467_1.png""]"
